drug,disease
auranofin,Diarrhea
Methylthiouracil,Hypothyroidism
ioversol,Body Imaging
etoposide,Carcinoma
Bacteriochlorophyll A,Proteobacteria
diphenhydramine hydrochloride,Urticaria
"rabies vaccine, human diploid cell",Rabies Prophylaxis
levocarnitine,Hyperammonemia (disorder)
spectinomycin,Gonorrhea
tranexamic acid,"Shock, Hemorrhagic"
fluoroerythronitroimidazole,Neoplasms
loteprednol / tobramycin,Cyclitis
dexfenfluramine,Obesity
flurazepam hydrochloride,Sleep Initiation and Maintenance Disorders
gefitinib,Hypersensitivity
yohimbine hydrochloride,Miosis disorder
prednisolone,Meningoencephalitis
doxazosin,Benign Prostatic Hyperplasia
theophylline,Sleep Apnea Syndromes
metformin,Diabetic
fluoxetine,PANDAS Syndrome
levonorgestrel,Emergency Contraception (Postcoital Contraception)
triamcinolone acetonide,Cerebral Edema
doxapram,Hypercapnia
resveratrol,Brain Injuries
denosumab,Osteolytic Bone Lesions of Multiple Myeloma
risperidone,Post Traumatic Stress Disorder
urokinase,Thrombosis of subclavian vein
Augmentin,Lower respiratory tract infection
theophylline,Asthma night-time symptoms
cyclosporine,Toxic Epidermal Necrolysis
bleomycin,Brain Neoplasms
chloramphenicol,Haemophilus influenzae
alclometasone dipropionate,Leg Dermatoses
imipenem,"Pneumonia, Bacterial"
erlotinib,Non-Small Cell Lung Cancer
ghrelin,"Diabetes Mellitus, Non-Insulin-Dependent"
metoclopramide,Hypothalamic amenorrhea
tolterodine,Urinary Incontinence
gabapentin,Bipolar Disorder
amlodipine,Cerebrovascular accident
amitriptyline,Migraine Prevention (Migraine Prophylaxis)
diazepam,Temporomandibular Joint Disorder
dextranomer,Wounds and Injuries
epinephrine,Adams-Stokes Syndrome
etoposide,Testicular Neoplasms
fidaxomicin,Clostridioides difficile Infection
cladribine,Disability
lasalocid,Coccidiosis
triamcinolone,Atopic rhinitis
desmopressin,Nocturnal polyuria
methotrexate,hearing impairment
cyclophosphamide,"Carcinoma, Small Cell"
metformin,"Diabetes Mellitus, Insulin-Dependent"
doxorubicin hydrochloride,Neoplasms
alpelisib,Carcinoma breast stage IV
cisplatin,Metastatic Penile Cancer
everolimus,Advanced Pancreatic Neuroendocrine Tumor
gabapentin,Erythromelalgia
amoxicillin,Upper Respiratory Tract Infection
fluconazole,Sepsis
liraglutide,"Diabetes, Type 2"
ezogabine,"Epilepsies, Partial"
thiamine,Fatigue
cyproheptadine hydrochloride,Cluster Headache
valacyclovir,Cytomegalovirus
sodium bicarbonate,Cardiac Arrhythmia
betamethasone / calcipotriene,Psoriasis
levamisole,Recurrent infections
"fibrinogen, human",Afibrinogenemia
zinc oxide,Tinea Pedis
cytarabine,Chronic Myelogenous Leukemia
prednisolone sodium phosphate,Ulcerative Colitis
acetic acid / hydrocortisone,Otitis Externa
fluticasone / umeclidinium / vilanterol,COPD
colchicine,Cardiovascular Diseases
praziquantel,Liver Fluke (Clornorchis sinensis)
phenytoin,"Tachycardia, Ventricular"
beraprost sodium,Diabetic Nephropathy
interferon alfa-2b,Hepatitis B
bromodiphenhydramine,Rhinorrhea
capecitabine,Pancreatic Cancer
methyclothiazide,Glomerulonephritis
penicillin g benzathine,Syphilitic Aortic Aneurysm
rituximab-abbs,Granulomatosis with polyangiitis
triamcinolone,Lichen Simplex Chronicus
Thiouracil,Thyrotoxicosis
erythromycin,Dental Abscess
rivaroxaban,Prevention of Thromboembolism in Atrial Fibrillation
tragacanth,Hypersensitivity
acebutolol,Ventricular Arrhythmia
testosterone,Malignant neoplasm of prostate
Steroids,Bronchiolitis Obliterans Organizing Pneumonia
omeprazole sodium,Duodenal Ulcer
potassium iodide,Asthma
trastuzumab-dkst,Mammary Neoplasms
erythromycin lactobionate,Campylobacter infection
acetazolamide,Acute mountain sickness
miglitol,Diabetic
colchicine,Asthma
lansoprazole,Helicobacter pylori
efavirenz,HIV-1
iron,Chronic Kidney Diseases
magnesium gluconate,Incomplete passage of stool
mirtazapine,Underweight
itraconazole,Acquired Immunodeficiency Syndrome
vanilmandelic acid,Neuroblastoma
oblimersen sodium,Chronic Lymphocytic Leukemia
cefoxitin,Cholecystitis
acetylcysteine zinc,Poisoning
prasterone,Rheumatoid Arthritis
clotrimazole,Aspergillosis
lidocaine,"Pain, Postoperative"
rivaroxaban,acute venous thrombosis
mipomersen sodium,"Hyperlipidemia, Familial Combined"
fluconazole,Esophageal Candidiasis
sorafenib,"Fibromatosis, Aggressive"
lorazepam,Sedation
simvastatin,Septicemia
dienestrol,Atrophic Vaginitis
omeprazole,GERD
ceftazidime,Klebsiella cystitis
buprenorphine,Neonatal Abstinence Syndrome
procarbazine,Malignant Glioma
Particle,"Lupus Erythematosus, Systemic"
Cannabinoids,Multiple Sclerosis
multivitamin,Dietary Supplementation
ebastine,Hypersensitivity
arginine,Coronary Arteriosclerosis
temocillin,Bacterial Infections
estrogens,Uterine Fibroids
troglitazone,Psoriasis
methylprednisolone sodium succinate,Uveitis
cyclosporine,Chronic anemia
Incretins,pony
Soman,Poisoning
budesonide / formoterol,COPD
neomycin,Hepatic Encephalopathy
imipenem,"Bone Diseases, Infectious"
demeclocycline,Q Fever
recombinant interferon beta-1b,"Thrombocythemia, Essential"
Cephaloglycin,Urinary tract infection
ciprofloxacin,Acute urinary tract infection
levetiracetam,Traumatic Brain Injury
bleomycin,Testicular Cancer
acamprosate,Alcohol Use Disorder
vancomycin,Peritonitis
hydrocortisone,Synovitis
atenolol,Ventricular Tachycardia
quetiapine,Insomnia
anastrozole,Breast Cancer
budesonide,Inflammatory Bowel Diseases
levodopa,Tremor
"1-phenyl-3,3-dimethyltriazene",Verrucous Lesion
ethosuximide,Epilepsy
urea hydrochloride,Ocular Hypertension
mexiletine,Myotonic Dystrophy
ganciclovir,Cytomegalovirus Retinitis
aminolevulinic acid,Accumulation
betamethasone,Gouty Arthritis
tofacitinib,Herpes zoster (disorder)
perazine,Schizophrenia
chondroitin sulfates,Rheumatoid Arthritis
sargramostim,Mammary Neoplasms
glucose,Pre-Eclampsia
captopril,Cardiovascular Diseases
butorphanol,Pruritus
divalproex sodium,Epilepsy
metformin,Arteriosclerosis
betahistine,Vertigo
fosfestrol,Mammary Neoplasms
triamcinolone acetonide,Simple Pulmonary Eosinophilia
astemizole,Macaca fascicularis
hydrocodone,Coughing
ibopamine,Chronic heart failure
amiloride,Nephrogenic Diabetes Insipidus
clonazepam,Dystonia
potassium,Diabetic Ketoacidosis
hydrocortisone,Stress
clopidogrel,Cerebral Embolism
tetracaine,Skin Rash
carvedilol,Functional disorder
lenvatinib,Advanced Hepatocellular Carcinoma
doxazosin,Insulin Sensitivity
roxithromycin,Acne
hydrocortisone / neomycin / polymyxin b,Keratitis
perfluorohexyloctane,Dry Eye Syndromes
clonidine,Ulcerative Colitis
nedocromil sodium,"Asthma, Exercise-Induced"
spinosad,Lice
tibolone,Uterine Fibroids
aspirin,High-Risk Pregnancy
copper,Schizophrenia
dexamethasone,Eczema
ceftriaxone,Eye Conditions
telithromycin,Bacterial Infections
Challenge,Older people
terbinafine,Tinea Cruris
fluorouracil,Stomatitis
isotretinoin,Acne Vulgaris
amikacin sulfate,Mycobacterium Infections
salmon calcitonin,"Osteoporosis, Postmenopausal"
paroxetine,Persistent Depressive Disorder
flecainide acetate,Cardiac Arrhythmia
nedaplatin,Malignant Neoplasms
triamcinolone,Plantar Fibromatosis
pravastatin,Myocardial Infarction
penicillin G sodium,Pneumococcal Infections
methyl jasmonate,Stress
dimercaprol,Mycoplasma pneumonia
ibuprofen,Diffuse Idiopathic Skeletal Hyperostosis
prednisolone,Autoimmune thrombocytopenia
carbidopa,Fluctuation
donepezil,Tardive Dyskinesia
carboplatin,Neuroblastoma
Daraprim,Malaria
bevacizumab,Peritoneal Cancer
Carbapenems,Bacteremia
cabergoline,Infertility
mercaptopurine,Hepatitis
glutethimide,Sleep Initiation and Maintenance Disorders
mometasone furoate,Psoriasis of scalp
metformin,Cardiotoxicity
cyproterone acetate,Androgenetic Alopecia
azathioprine,Glomerulonephritis
lenalidomide,Indolent Non-Hodgkin Lymphoma
"japanese enceph vacc sa14-14-2, inactivated",Japanese Encephalitis Virus Prophylaxis
pentoxifylline,Thrombosis
clomiphene citrate,Endometriosis
R-EPOCH Regimen,Mantle cell lymphoma
cannabidiol,Substance Use Disorders
isosorbide mononitrate,"Osteoporosis, Postmenopausal"
balsalazide,Inflammatory Bowel Diseases
mepolizumab,Eosinophilic Granulomatosis with Polyangiitis
spironolactone,Hidradenitis Suppurativa
prednisolone,"Conjunctivitis, Allergic"
clarithromycin,Leprosy
erythromycin ethylsuccinate,Acne Vulgaris
pyrimethamine,Toxoplasmosis associated with acquired immunodeficiency syndrome
azithromycin,Bartonellosis
diphenylcyclopropenone,Metastatic melanoma
fosinopril sodium,"Ventricular Dysfunction, Left"
tenofovir disoproxil fumarate,HIV-1
selpercatinib,Medullary carcinoma
azacitidine,Malignant neoplasm of breast
clocortolone pivalate,Pruritus of genital organs
methotrexate sodium,Juvenile arthritis
aripiprazole,Obsessive Compulsive Disorder
blinatumomab,Acute Lymphoblastic Leukemia
penicillin g potassium,Actinomycosis
Antileishmanial [EPC],Leishmaniasis
dydrogesterone,Menstruation Disturbances
gliclazide,Diabetes
aceclofenac,Rheumatoid Arthritis
methylprednisolone,Autoimmune Diseases
pregabalin,Peripheral neuropathic pain
pregabalin,Dizziness
fluorouracil,Biliary carcinoma
bicalutamide,Androgenetic Alopecia
Lenalidomide-Dexamethasone Regimen,Multiple Myeloma
roflumilast,Exacerbation
bendamustine,Non-Hodgkin's Lymphoma
sunitinib,Advanced renal cell carcinoma
bleomycin,Non-Hodgkin's Lymphoma
"1,4,7-triazacyclononane-N,N',N''-triacetic acid",Neoplasms
ethinyl estradiol / norethindrone,Polycystic Ovary Syndrome
cefixime,"Gonococcal Infection, Uncomplicated"
azathioprine,Systemic Lupus Erythematosus
brivaracetam,"Seizures, Focal"
FTY-720,Colitis
vitamin E,Functional disorder
mycophenolate mofetil,Systemic Lupus Erythematosus
miltefosine,Secondary malignant neoplasm of skin
phenytoin,Trigeminal Neuralgia
azathioprine,Neoplasms
bupivacaine,Orthopedic surgery physician
perifosine,Waldenstrom Macroglobulinemia
paclitaxel,Malignant neoplasm of stomach stage IV
ergocalciferol,"Dermatitis, Atopic"
Histone deacetylase inhibitor,"Lymphoma, T-Cell, Cutaneous"
olaparib,Epithelial tumor of ovary
paclitaxel,Metastatic urothelial carcinoma
triamcinolone diacetate,Serum Sickness
estrone,Chemotherapy-induced nausea and vomiting
memantine,Complex Regional Pain Syndromes
carnitine,Cardiomyopathies
fluocinonide,Pruritus Ani
baicalin,Inflammatory disorder
temazepam,Insomnia
cisplatin,ovarian neoplasm
prednisone,Hypercalcemia
olaparib,Carcinoma breast stage IV
ficusin,Psoriasis
risperidone,Hallucinations
fructose,Diabetic
methylprednisolone,Serum Sickness
pyridostigmine,Myasthenic crisis
ceftriaxone,Gonorrhea
tacrine,Degenerative polyarthritis
chondroitin / glucosamine,Osteoarthritis
hydrocortisone acetate,Psoriasis
Incretins,"Diabetes Mellitus, Insulin-Dependent"
liothyronine,Underactive Thyroid (Hypothyroidism)
cyclophosphamide,Testicular Cancer
carboplatin,Esophageal Neoplasms
trovafloxacin mesylate,Sinusitis
epoprostenol,Pulmonary Hypertension
lisdexamfetamine,Narcolepsy
Fasigyn,Trichomonas Vaginitis
prednisone,Immune thrombocytopenic purpura
Tobacco,Schizophrenia
alpelisib,HER2-positive carcinoma of breast
gemcitabine,Advanced Pancreatic Ductal Adenocarcinoma
oxybutynin,Urinary Incontinence
Misonidazole,Advanced cancer
paclitaxel,Peripheral Vascular Diseases
artesunate,Degenerative polyarthritis
dinoprost,Endometritis
colchicine,Dermatologic disorders
gemcitabine,Liver and Intrahepatic Biliary Tract Carcinoma
cyclosporine,Membranous glomerulonephritis
resiniferatoxin,Incontinence
finerenone,Chronic Kidney Diseases
ivermectin,Infestation by Psoroptes ovis
glasdegib,Acute Myeloid Leukemia
alitretinoin,Chronic hand eczema
colesevelam,Diarrhea
sulbactam,Ventilator-associated lung injury
linezolid,Staphylococcus aureus
dactinomycin,Kaposi Sarcoma
cefdinir,Otitis Media
amikacin,Bacterial Infections
metoprolol,"Cardiomyopathy, Dilated"
carboxymethylcellulose,Dryness of eye
topotecan,Small Cell Lung Cancer
ziprasidone,Tourette's Syndrome
water,Immunocompromised Host
doxycycline,Q fever endocarditis
clopidogrel,Acute Coronary Syndrome
ampicillin,Lower respiratory tract infection
pazopanib,Osteosarcoma
Insulin,Cystic Fibrosis
florfenicol,Cattle Diseases
Normal saline,Traumatic Wound
naloxone,Endotoxic shock
erythromycin estolate,Streptococcal Infections
carboplatin,Neoplasms
milnacipran,Somatoform Pain Disorder
dexamethasone,Malignant neoplasm of lung
norepinephrine,Cardiomyopathies
clonazepam,Psychotic Disorders
ketoconazole,Hormone refractory prostate cancer
theophylline sodium glycinate,Bronchitis
norfloxacin,Bacterial Infections
silver sulfadiazine,Burn injury
nivolumab,Hodgkin's Lymphoma
cefadroxil,Klebsiella Infections
Erythropoietin,Kidney Diseases
iron,Soldiers
amifostine,"Leukemia, Myelocytic, Acute"
ginsenoside M1,Malignant Neoplasms
ergocalciferol,Vitamin Deficiency
tralokinumab,"Dermatitis, Atopic"
collagen,"Platelets, CTCAE"
cyproheptadine,Pruritus
deoxycholic acid,Submental Fullness
everolimus,Breast Cancer
calcitonin,"Hyperparathyroidism, Primary"
bosentan,Diabetes
phenol,Giant Cell Tumors
magnesium salicylate tetrahydrate,Psoriasis
clopidogrel,risk factors
cidofovir,Laryngeal papillomatosis
povidone-iodine,Wound Infection
terbinafine,Tinea Pedis
trametinib,BRAF NP_004324.2:p.V600E
phenytoin,Glioma
pentoxifylline,"Kidney Failure, Chronic"
ergocalciferol,Pre-Eclampsia
polymyxin B sulfate,Urinary Bladder Diseases
hydroxyurea,Hemoglobinopathies
insulin aspart,"Diabetes, Type 1"
warfarin,Hemorrhage
sodium iodide,Surgical Wound Infection
cisplatin,Non-Small Cell Lung Cancer
pegfilgrastim,Congenital neutropenia
bimatoprost,"Glaucoma, Open-Angle"
cephalexin,Upper Respiratory Tract Infection
meropenem,Enterobacteriaceae
amphotericin B,Syphilis
sulindac,Shoulder Pain
meropenem,Premature Birth
amoxicillin,Peptic Ulcer
ketoconazole,Tinea Corporis
rituximab,Focal Segmental Glomerulosclerosis
minocycline,Acne
danazol,Infertility
"lente insulin, human","Diabetes Mellitus, Insulin-Dependent"
desvenlafaxine,Neuralgia
azithromycin,Babesiosis
amoxicillin,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)
betamethasone sodium phosphate,Foot Dermatoses
clonidine,Alcohol Withdrawal
arimoclomol,Amyotrophic Lateral Sclerosis
capsaicin,Chronic Cough
baicalin,Osteosarcoma
imatinib mesylate,Polycythemia Vera
propofol,Myocardial Reperfusion Injury
glucose,Coronary Arteriosclerosis
albendazole,Helminthiasis
finasteride,Polycystic Ovary Syndrome
morphine,"Pain, Postoperative"
tamoxifen,Refractory cancer
estradiol cypionate,Menorrhagia
lenvatinib,Renal Cell Carcinoma
chlorpromazine,Acute schizophrenia
methenamine,Urinary Tract Infection
cyclosporine,"Dermatomyositis, Childhood Type"
amphotericin B,Sepsis
flecainide,Ventricular Fibrillation
lorazepam,Seizures
VP 16-213,leukemia
telmisartan,"Aortic Aneurysm, Abdominal"
trazodone,Insomnia
piperacillin-tazobactam combination,Ventilator-associated lung injury
tirofiban,Microembolus
sirolimus,leukemia
solriamfetol,Hypersomnia
methotrexate,Seronegative rheumatoid arthritis
rasagiline,Thyroid Nodule
linezolid,Tuberculosis
etoposide phosphate,Malignant neoplasm of testis
propranolol,Cardiovascular Diseases
cefotaxime,Sepsis
propofol,Vomiting
naproxen,Athletic Injuries
pralidoxime cation,Drug Overdose
pomalidomide,Multiple Myeloma
estrogens,Hypertrophy
Erythropoietin,Polycythemia
fluconazole,Vaginal Yeast Infection
voriconazole,Osteomyelitis
paclitaxel,Triple Negative Breast Neoplasms
medroxyprogesterone,Amenorrhea
testosterone,Microtus
methylprednisolone aceponate,Berylliosis
testosterone undecanoate,Primary hypogonadism
vitamin A,"Diabetes Mellitus, Insulin-Dependent"
praziquantel,Histopathology
amoxicillin,Lobar Pneumonia
aspirin,Retinal Vein Occlusion
methotrexate,Acute Lymphocytic Leukemia
Methotrexate-Vinblastine-Adriamycin-Cisplatin Regimen,Carcinoma of bladder
azithromycin,Skin or Soft Tissue Infection
prilocaine,Absence of sensation
sulindac,Adenoma
methylprednisolone,leukemia
influenza A virus A/Darwin/6/2021 (H3N2) antigen,"Influenza A Virus, H3N2 Subtype"
tryptophan,Chronic Fatigue Syndrome
fluticasone,Eosinophilic esophagitis
bezafibrate,Hyperlipoproteinemias
Tace,Malignant Neoplasms
valproic acid,Manic
infliximab-qbtx,Ulcerative Colitis
imatinib,Molecular Response
azathioprine,Pemphigus Vulgaris
cabozantinib,Advanced renal cell carcinoma
Insulin,Finding of body mass index
tacrolimus,Arthritis
daclatasvir,Hepatitis C
cyclophosphamide,Carcinosarcoma
molsidomine,Angina Pectoris
sodium phosphate dihydrate,Hypophosphatemia
lidocaine,"Tachycardia, Ventricular"
gallium nitrate,Malignant Neoplasms
nitroglycerin,Acute infarct
curcumin,Spinal Cord Injuries
esomeprazole magnesium,Zollinger-Ellison syndrome
lenacapavir,Human immunodeficiency virus I infection
ofloxacin,"Mycobacterium avium-intracellulare, Treatment"
dexmethylphenidate,Auditory Processing Disorder
oseltamivir,Influenza-like symptoms
magnesium sulfate,Bronchospasm
bethanechol,Xerostomia
metformin,leukemia
benazeprilat,"Ventricular Dysfunction, Left"
dobutamine,Myocardial Ischemia
tigecycline,Staphylococcal Infections
donepezil,Mild Cognitive Impairment
triamcinolone acetonide,Dermatitis Herpetiformis
trimethoprim,Shigella Infections
rasburicase,Hyperuricemia
cyclophosphamide,Malignant Childhood Neoplasm
ceftriaxone,Bacterial peritonitis
liothyronine,Myxedema
fluconazole,Onychomycosis
ofloxacin,Haemophilus Infections
Hetrazan,Onchocerciasis
potassium hydrogencarbonate,Dyspepsia
ribavirin,Hemorrhagic Fever with Renal Syndrome
clarithromycin,Streptococcal Infections
acetazolamide,Apnea
interferon gamma-1b,Osteopetrosis
botulinum toxin type A,Dystonia
cyclosporine,Nephritis
leucovorin,Squamous cell carcinoma
OK-432,Ascites
ertapenem sodium,Abdominal Infection
cefazolin,Urinary tract infection
cefdinir monohydrate,"Skin Diseases, Bacterial"
hydrogen peroxide,Starvation
orphenadrine citrate,Tetanus
diltiazem,Supraventricular tachycardia
propranolol,Heart failure
tryptophan,Malnutrition
fluconazole,Sporotrichosis
acetaminophen,Muscle Pain
piroxicam-beta-cyclodextrin,Degenerative polyarthritis
azathioprine,Atopic Dermatitis
cyclosporine,Behcet Syndrome
fenclofenac,Rheumatoid Arthritis
acetylcholine,Production of Miosis
carfilzomib,Multiple Myeloma
propranolol,Infantile hemangioma of liver
imidafenacin,Overactive Bladder
meropenem anhydrous,Urinary tract infection
testosterone,Physical function
ibuprofen,Muscle Pain
carbamazepine,Schizophrenia
cromolyn sodium,Allergic asthma
nimodipine,"Subarachnoid Hemorrhage, Aneurysmal"
warfarin,"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis"
carboplatin,"Carcinoma, Transitional Cell"
prednisolone,Bursitis
azathioprine,Polyarthritis
albendazole,Hookworm Infection (Necator or Ancylostoma)
pyrithione,Tinea Versicolor
cyclobenzaprine,Muscle Spasm (Involuntary Hypertonicity)
phenol,Sore Throat
alprostadil,Arterial Occlusive Diseases
